player_name,games,time,goals,xG,assists,xA,shots,key_passes,position,team_title,npg,npxG
Pierre-Emerick Aubameyang,5,429,4,2.3598601445555687,0,0.48351839929819107,11,3,M,Arsenal,4,2.3598601445555687
Son Heung-Min,5,450,4,3.984076350927353,0,0.946405678987503,22,5,F M,Tottenham,4,3.22290763258934
Marcus Rashford,5,395,4,3.50810170173645,0,0.08746021240949631,17,3,M,Manchester United,3,2.7469329237937927
Mohamed Salah,5,450,4,3.067819617688656,1,1.7188920266926289,20,8,F,Liverpool,3,2.3066507801413536
Marcos Alonso,5,424,4,0.9680413603782654,0,0.9525037780404091,14,8,D M,Chelsea,4,0.9680413603782654
Dominic Calvert-Lewin,5,437,4,4.530381262302399,1,0.27348169684410095,20,4,F,Everton,4,4.530381262302399
Sergio Agüero,5,349,3,4.554881811141968,0,0.5498098768293858,21,4,F S,Manchester City,3,3.793712943792343
Raúl Jiménez,5,434,3,3.458439812064171,0,0.8864552229642868,20,6,F,Wolverhampton Wanderers,3,3.458439812064171
Richarlison,5,450,3,1.7110905349254608,0,2.8141783475875854,19,9,F,Everton,3,1.7110905349254608
Diogo Jota,5,311,3,3.916740767657757,1,0.5682743825018406,13,5,F M S,Wolverhampton Wanderers,3,3.916740767657757
Callum Wilson,5,450,2,2.8426133692264557,0,0.920223280787468,12,5,F,Bournemouth,2,2.8426133692264557
Anthony Martial,5,441,2,1.058552622795105,0,0.2668743412941694,13,5,F,Manchester United,2,1.058552622795105
Troy Deeney,5,437,2,2.4222983196377754,2,0.7097166143357754,7,4,F,Watford,2,2.4222983196377754
Jordan Henderson,5,449,2,0.3873777501285076,3,0.9851525127887726,6,8,M,Liverpool,2,0.3873777501285076
Harry Kane,5,438,2,1.8130098059773445,0,0.5002602227032185,13,7,F,Tottenham,1,1.0518777444958687
Riyad Mahrez,5,361,2,1.19471481628716,2,2.0150734558701515,11,12,F M S,Manchester City,2,1.19471481628716
Jeffrey Schlupp,5,159,2,0.175225380808115,0,0,3,0,D S,Crystal Palace,2,0.175225380808115
Ayoze Pérez,5,331,2,1.533058650791645,0,0.59914930164814,9,4,M S,Leicester,1,0.7718897983431816
Sadio Mané,5,325,2,1.6376349329948425,0,0.29528794437646866,8,3,F S,Liverpool,2,1.6376349329948425
Jay Rodriguez,5,450,2,2.9084694609045982,0,0.02909279614686966,16,1,F,Burnley,1,2.147300623357296
Alex Oxlade-Chamberlain,5,325,2,0.49118209071457386,0,0.36283128149807453,6,8,F M S,Liverpool,2,0.49118209071457386
Matej Vydra,5,246,2,1.7988347858190536,0,0.05714496597647667,7,2,F S,Burnley,2,1.7988347858190536
Bruno Fernandes,4,360,2,1.3996587619185448,2,0.709463607519865,16,8,M,Manchester United,1,0.6384899392724037
Robert Snodgrass,5,351,2,0.21254055947065353,2,1.0287590064108372,4,5,F M S,West Ham,2,0.21254055947065353
Antonio Rüdiger,5,450,2,0.6528576146811247,0,0.4384452514350414,6,2,D,Chelsea,2,0.6528576146811247
Issa Diop,5,450,2,0.7229666151106358,0,0,3,0,D,West Ham,2,0.7229666151106358
Chris Wood,5,322,2,1.7493856549263,1,0.1578858345746994,9,5,F S,Burnley,2,1.7493856549263
Florian Lejeune,5,352,2,0.37583306804299355,0,0.051249224692583084,3,1,D S,Newcastle United,2,0.37583306804299355
Ismaila Sarr,5,372,2,2.564963087439537,3,1.7231179475784302,13,9,M S,Watford,2,2.564963087439537
Yerry Mina,5,450,2,1.6188507974147797,1,0.15633149445056915,7,1,D,Everton,2,1.6188507974147797
Harvey Barnes,5,400,2,2.047399215400219,1,0.7338906228542328,11,9,M S,Leicester,2,2.047399215400219
Stuart Armstrong,5,432,2,1.027861662209034,0,0.2169702723622322,19,6,M,Southampton,2,1.027861662209034
Gabriel Martinelli,5,378,2,1.616063229739666,0,0.018836161121726036,7,1,M S,Arsenal,2,1.616063229739666
Steven Bergwijn,4,333,2,1.0170821025967598,0,0.2524939030408859,6,6,F M,Tottenham,2,1.0170821025967598
Mario Vrancic,5,246,1,0.4508906714618206,0,0.11226028576493263,3,2,M S,Norwich,1,0.4508906714618206
Fabian Schär,5,287,1,0.2612924091517925,0,0.07676944881677628,7,2,D S,Newcastle United,1,0.2612924091517925
Chicharito,2,107,1,0.8829848766326904,0,0,3,0,F S,West Ham,1,0.8829848766326904
Pascal Groß,5,246,1,0.21593774110078812,0,0.7368447724729776,4,7,F M S,Brighton,1,0.21593774110078812
Sokratis,5,438,1,0.7903546690940857,0,0,1,0,D,Arsenal,1,0.7903546690940857
Kevin De Bruyne,5,440,1,0.6343908347189426,2,2.8687380589544773,16,20,M,Manchester City,1,0.6343908347189426
Joshua King,5,296,1,1.0857700370252132,0,0.9779761284589767,3,5,F M S,Bournemouth,1,1.0857700370252132
James Milner,5,204,1,0.779298935085535,0,0.15594105795025826,2,2,D M S,Liverpool,0,0.018130097538232803
